icao,lat1,lon1,lat2,lon2,width,sign
31VA,37.01226100,-076.59109200,37.02813300,-076.58667500,18.29,02
U36,42.92032800,-112.88783900,42.92188900,-112.87438300,15.24,06
KABR,45.45523600,-098.42803600,45.44184200,-098.40904700,29.87,13
KABR,45.45555300,-098.42735300,45.44046900,-098.42732500,29.87,17
YABF,-21.67270716,145.26320141,-21.66862200,145.26859600,17.07,5
GA61,33.26640069,-084.50005669,33.27161653,-084.49423943,30.48,05
KGZS,35.15982500,-087.06061100,35.14758900,-087.05301900,22.86,16
F83,33.85141100,-101.76294700,33.84041700,-101.76294700,22.86,17
F83,33.84329200,-101.77007500,33.84989700,-101.76294700,22.86,03
OEAB,18.24990800,042.64427200,18.23084700,042.66899400,45.11,13
MS08,33.30880207,-090.99018579,33.30254569,-090.99057811,7.62,18
DIAP,05.24884700,-003.93145300,05.27392500,-003.92113900,49.99,03
NE27,41.37083670,-096.95080266,41.36541489,-096.94864895,28.96,16
K78,38.90968300,-097.23584400,38.89842800,-097.23586400,22.86,17
KABI,32.42808100,-099.68491900,32.40828900,-099.68481900,45.72,17R
KABI,32.40853100,-099.67478100,32.38874700,-099.67468300,45.72,17L
KABI,32.41960300,-099.69481100,32.42578900,-099.68538300,30.48,04
EGUD,51.69626090,-001.31765360,51.67831126,-001.31424499,45.11,17
EGUD,51.68946673,-001.32350171,51.69303281,-001.30310248,45.11,07
YABI,-17.60688560,143.18062854,-17.60732717,143.18715437,49.99,09
YABI,-17.60398660,143.18249633,-17.61312940,143.18462288,49.99,16
WXW0,-08.45254570,126.98565286,-08.44383833,126.98945514,36.88,2
5FD5,30.59542407,-084.98449447,30.59551981,-084.97812221,22.86,09
WX01,-06.06504868,139.26625054,-06.06135300,139.26783800,28.04,2
WAKH,-06.16610219,139.26369428,-06.16883381,139.26599972,29.87,14
WX02,-04.29473008,140.63931479,-04.29035524,140.64072440,21.03,02
X6AB,57.07444574,-002.84392044,57.07511676,-002.83548337,6.10,09R
X6AB,57.07488404,-002.84436432,57.07569482,-002.83584679,4.88,09L
X6AB,57.07486305,-002.84332737,57.07394632,-002.83715926,29.87,10
X6AB,57.07356529,-002.84248291,57.07534192,-002.83795128,28.04,05
OEBQ,25.91853600,049.58663900,25.90402200,049.59581900,33.83,15
MMCS,31.62831900,-106.43587800,31.64740800,-106.41813300,45.11,03
MMCS,31.64319400,-106.43227500,31.62872800,-106.42488100,29.87,14
7CA1,34.41604911,-116.62897599,34.41339477,-116.61607125,22.86,09
4D0,42.77528300,-084.73596400,42.77595800,-084.72408600,22.86,09
4D0,42.77725800,-084.73693100,42.77031400,-084.73693100,36.58,18
AU89,-28.43385170,113.73549851,-28.43957504,113.73564394,38.40,17
FB00,-19.42390000,022.54450000,-19.41940000,022.55270000,17.98,06
OS57,35.73282800,037.08762500,35.73149700,037.12080000,41.15,09
OEAA,27.32491400,049.58316900,27.31319700,049.59097200,27.43,15
OMAA,24.44438900,054.63520600,24.42170800,054.66715800,45.11,13
OM11,24.52523600,054.97201400,24.51247500,054.98811400,60.96,13
VA74,24.49343900,072.77597200,24.49505000,072.78706700,14.94,08
HE29,28.90496400,033.19481400,28.89306900,033.21010600,45.72,13
HEBL,22.38767800,031.60442800,22.36422500,031.61901400,45.11,15
HE35,30.56996400,032.07959200,30.56991100,032.11052800,45.11,09
HE35,30.58035600,032.08134200,30.57041900,032.10990300,45.11,11
OIBA,25.87418900,055.01819700,25.87729200,055.04779200,45.11,08
SWAB,-09.69582359,-065.36757855,-09.70473301,-065.36630825,14.33,18
YACS,-31.42100005,141.90211219,-31.43254200,141.90726000,49.99,14
KARA,30.04849400,-091.88662800,30.02701400,-091.88115800,60.96,16
KMFV,37.64053355,-075.76439061,37.65316624,-075.75764661,29.87,03
DGAA,05.58838023,-000.17336539,05.61677577,-000.16183777,60.96,03
67WI,43.97464503,-089.99707223,43.96751329,-089.99707223,24.38,18
3AE,40.04562461,-085.67290464,40.04612705,-085.66038092,30.48,09
EDXA,52.37703802,007.91152823,52.37796219,007.91547210,9.14,7
9M4,33.29940000,-089.22925300,33.30751700,-089.22754700,22.86,01
4C7,42.54877380,-093.03613695,42.54284952,-093.03203973,30.48,15
EG2,51.44669733,-113.51351931,51.45328067,-113.51986669,30.48,31
EG2,51.44667549,-113.51808733,51.44674251,-113.51192667,22.86,07
06S,48.70776494,-122.17870000,48.71135006,-122.17661446,22.86,36
