icao,latitude,longitude,name
VIAX,31.433758,75.7588265,ADAMPUR
90PA,41.87923222,-78.11500751,Adams
GA91,33.39706027,-84.46020389,Adams
1II2,40.61582416,-84.834825,Adams
PS50,41.76785583,-75.72324389,Adams
8NC5,34.57460722,-79.24892862,Adams
9H2,37.90282805,-89.13757862,Adams - Private
63C,43.96117,-89.78803075,ADAMS COUNTY LEGION FIELD
7FL3,27.44198388,-80.5842225,Adams Ranch
70LL,40.94169972,-88.75006695,Adams Rla
83OH,40.06227333,-84.37939278,Adams Strip
LTAF,36.982142,35.280394,ADANA
YADA,-25.89224368,144.57260914,Adavale
4TX8,33.24872916,-97.22390528,Addington Field
KEKX,37.686007,-85.9250375,ADDINGTON FLD
KADS,32.968558,-96.836454,ADDISON
2A8,34.20926833,-87.15806723,Addison Municipal
AU01,-35.18020200,139.12352000,Adelaide Hills
YPAD,-34.94774507,138.52808561,Adelaide Intl
YPPF,-34.79083168,138.63634956,Adelaide Parafield
AU02,-33.89171200,138.09834300,Adelaide Uni. Lochiel
52CL,34.53749305,-117.46060417,Adelanto
YADL,-15.52197300,123.15573800,Adele Island
YALG,-18.69135626,138.53290804,Adels Grove
VA71,38.6484525,-77.53276556,Aden Field
OYAA,12.82765300,045.03710700,Aden Intl
SDRD,-21.6425,-47.47111111,Adhemar Ribeiro
CA01,41.18600194,-120.95218917,Adin
NY17,44.60198888,-73.85292223,Adirondack Airpark Estates
KSLK,44.38027200,-074.20412400,Adirondack Rgnl
LTCP,37.7313695,38.468936,ADIYAMAN
HUAJ,3.339232,31.7647205,ADJUMANI
8IL0,42.35279777,-88.63481945,Adkins Rla
LTBJ,38.29221,27.1559395,ADNAN MENDERES
NM37,33.57645333,-107.90004528,Adobe Ranch - Private
SNAH,-10.5809195,-38.088768,ADUSTINA
6M3,38.87254361,-91.30015556,Adventures Aloft
WIME,1.400103,99.430453,Aek Godang
EN01,61.25680059,011.67070037,AERA
SSXN,-8.29833333,-55.114722225,Aereo Amazonia
38PA,40.39093861,-75.01405806,Aerequus
1GA9,33.76150555,-83.65267084,Aerie
FD88,27.34198694,-80.52199889,Aero Acres
SJCN,-16.906944445,-47.708333335,Aero Agricola Cristalina
SWMA,-11.833611115,-46.26666667,Aero Agricola Fulanete
SJTL,-22.97861111,-51.548611115,Aero Agricola Gaivota
SWKM,-14.644166675,-57.504166665,Aero Agricola Rondon
SJIE,-13.550277775,-58.86,Aero Agricola Sapezal
T31,33.20845,-96.741942,AERO COUNTRY
TS96,32.08265999,-95.45217723,Aero Estates
TX54,33.29844916,-96.86389,Aero Estates
7IS2,38.524495,-90.05694445,Aero Estates
1WI6,42.84029416,-88.063975,Aero Estates
55OI,40.85867277,-80.53534667,Aero Flight Center
IL58,41.43614166,-88.24867417,Aero Four
30IS,42.07724805,-88.62508834,Aero Lake Estates
2OI4,41.04533277,-81.93653056,Aero Lake Farm
76C,43.10834277,-88.15981334,Aero Park
5II9,39.35281638,-87.37335223,Aero Plaines
NC21,34.99181583,-80.74840278,Aero Plantation
SSXW,-18.80777778,-52.60027778,Aero Porto Dal Lago
SIQQ,-18.133611105,-49.79611111,Aero Resende
SJPP,-9.856944445,-56.00444444,Aero Rural
NM42,34.41563111,-103.13494723,Aero Tech Inc
SNXE,0.993333335,-51.12083333,Aero Z Ferrus
89TX,30.87934333,-98.41697612,Aero-Bee Ranch Airstrip
69FD,30.845,-85.28138889,Aero-Custom
1IA6,40.88499805,-95.48527195,Aero-Lane
MN98,45.41135333,-93.38467612,Aero-Plain
45IN,38.9964425,-85.74802778,Aerobatic Practice
SJKA,-13.63527778,-57.89944444,Aerocampo
SNAU,-10.9030561,-37.0830574,Aeroclub
SSAQ,-28.2502785,-52.5166664,Aeroclub
SA37,-31.65486265,-064.39602857,Aeroclub Alta Gracia
SADS,-34.73296004,-058.60070898,Aeroclub Argentino
SA1L,-35.752711895,-58.462451105,Aeroclub Gral Belgrano
SSAK,-28.65777778,-53.61055556,Aeroclube
SDBI,-21.28194444,-50.326944445,Aeroclube
SSCE,-31.327777775,-54.13472222,Aeroclube
SNKB,-7.178333335,-35.99027778,Aeroclube
SSBZ,-29.67611111,-50.98138889,Aeroclube
SNGS,-9.5875,-35.75777778,Aeroclube de Alagoas
SSHA,-20.48083333,-55.769444445,Aeroclube de Aquidauana
SSBG,-29.14833333,-51.536388895,Aeroclube de Bento Goncalves
SIXE,-30.05027778,-51.44361111,Aeroclube de Eldorado do Sul
SSAF,-25.369444435,-54.470555565,Aeroclube de Foz do lguacu
SSRN,-26.32,-49.52055556,Aeroclube de Rio Negrinho
SSKT,-27.61166667,-48.67277778,Aeroclube de Santa Catarina
SSDM,-30.82222222,-55.57638889,Aeroclube de Santana do Livramento
SIPA,-21.644722215,-46.933333335,Aeroclube de Sao Jose do Rio Pardo
SDNY,-22.745336,-43.460307,AEROCLUBE NOVA IGUACU
LEVB,39.5772345,3.1264045,Aerodrom - Villafranca de Bonany
IA54,42.20026083,-93.63410556,Aerodrome
SWNV,-16.625403,-49.349268,AERODROMO NACIONAL DE AVIACAO
SJGF,-30.212777785,-52.44138889,Aerodromo Nova Era
EKAE,54.85260278,10.45639583,Aeroe
12N,41.0086195,-74.7380335,AEROFLEX ANDOVER
SWXD,-21.56111111,-48.79861111,Aerogardi
66IL,42.26918833,-88.57120389,Aerogrange
SIUB,-13.505,-55.15083333,Aerojaco
SIQI,-30.542222225,-50.47083333,Aerolis
LS72,30.202985,-92.81208973,Aerolite Aero Park
SJXA,-31.29222222,-54.15611111,Aeromis
SABE,-34.55627177,-058.41599448,Aeroparque Jorge Newbery
SAMQ,-32.863804865,-68.872367285,Aeroparque Mendoza
SJGH,-28.716388885,-55.9925,Aeropel
YPEC,-33.06607979,151.65055872,Aeropelican
LIAP,42.37830313,013.31065691,Aeroporto dei Parchi
SNJM,-20.25972222,-42.18388889,Aeroporto Elias Breder
SDBP,-22.9788445,-46.5371265,AEROPORTO ESTADUAL ARTHUR SIQUEIRA
SBBP,-22.979166675,-46.5375,Aeroporto Estadual Arthur Siqueira
SDYS,-27.17361111,-48.63111111,Aeroportobelo
SDNT,-15.68166667,-47.76888889,Aerorancho
SJGA,-3.70222222,-56.05388889,Aerorural Floramazon
MRAO,10.420096,-83.60986,AEROTORTUGUERO
36IL,41.97086,-88.49174834,Aeroview
MN89,46.61662611,-95.65032139,Aerovilla
SNZE,-3.17194444,-52.19166667,Aeroxingu
SNTB,-7.723611115,-37.61888889,Afogados da Ingazeira
SBCT,-25.53151500,-049.17631900,Afonso Pena
SNTG,-8.610555555,-41.00027778,Afranio
KAFO,42.7087695,-110.942167745,AFTON MUNI
AGAF,-09.19014776,160.95093948,Afutara
LTAH,38.726425,30.60111175,AFYON
NE19,41.60376100,-102.82857939,Ag Air
79TX,26.0731335,-97.537486,AG AIR INC
7TS9,29.05414305,-95.96245639,Ag Aviation
LS18,30.22104027,-92.77486639,Ag Aviation
94MN,46.57662694,-96.51201501,Ag Spray Inc
FY02,-20.0198,13.73225,Agab
GMAD,30.33001285,-009.40693951,Agadir AL MASSIRA
WXY6,-04.02227099,137.95575693,Agadugume
VEAT,23.8869775,91.2404485,AGARTALA
ED01,47.55373775,010.27189655,Agathazell
VOAT,10.8236585,72.176035,AGATTI
UDYA,39.976765,47.00211419,Agdam
HL58,30.765072,20.191433,AGEDABIA
LFBA,44.174025,0.592961,Agen la Garenne
FAAG,-29.28048300,018.81444900,Aggeneys
MN04,45.77357388,-95.26281112,Aggies Landing
OIAG,30.745446,49.6760875,AGHAJARI
51OH,41.07032861,-84.08633334,Agner
FD2,55.816681,-112.516693,Agnes Lake
YAWT,-24.19990779,151.89127722,AGNES WATER
YAGN,-12.14246256,142.14846605,AGNEW
VIAG,27.15779875,77.961145,AGRA
LTCO,39.6545705,43.027151,AGRI
XS42,28.92941444,-99.08031028,Agricultural Supplies
